[TimeStamp],ETH,XRP,LTC,DASH,XMR
2015-09-13 19:00:00,-0.0003172898564873794,0.0,-0.009707062961364029,-0.022531960016903163,0.007517112125162928
2015-09-13 20:00:00,0.01673624844356536,0.016423923148434882,0.0021379828277885427,0.0005201983420317635,0.0022544836929050405
2015-09-13 21:00:00,4.802554959271177e-06,-0.003353658536585313,0.01319976644647669,0.009524271040925791,0.033751273490220564
2015-09-13 22:00:00,-0.017766966744867996,0.0,0.0040093123750168935,-6.50028601257846e-05,0.0
2015-09-13 23:00:00,-0.0025620465079893013,0.0,0.0012517906083815422,-0.00018101973115070005,-0.03032698106027332
2015-09-14 00:00:00,-0.00910539215686268,0.0,0.0017924527531503198,0.005288533674765672,5.534591194966687e-05
2015-09-14 01:00:00,0.01169966731389982,0.0,-0.010206443892680994,-0.009947293375005106,-0.002324399655868059
2015-09-14 02:00:00,-0.017771964353385683,0.0,0.0145933343380662,-0.015010050251256457,0.0
2015-09-14 03:00:00,-0.014302569285070562,0.0,8.117061007784088e-07,1.0203404876563127e-06,-0.011543174700830659
2015-09-14 04:00:00,0.0217171717171718,0.00030590394616103467,-0.014996258037913046,0.01796307595610913,0.0
2015-09-14 05:00:00,0.0005536332179929547,-0.0061162079510702645,0.0002051917636520795,-0.003231526224577008,0.0
2015-09-14 06:00:00,-0.004382151255854283,0.0,0.014213823627309718,-0.0005661437965021052,0.0
2015-09-14 07:00:00,-0.0006624488276890661,0.021538461538461503,-1.6246953695731037e-06,-0.006531949402545978,-0.005137492985051728
2015-09-14 08:00:00,-1.986181144675303e-05,0.0,-0.012177111579385173,0.00837053571428581,0.02066122059660613
2015-09-14 09:00:00,0.006889702687604693,0.0,0.012328043894447973,-0.007769743998184086,0.002793520639897018
2015-09-14 10:00:00,0.006674885957341782,0.0,0.0,0.008959218399042124,-0.0021995310339298912
2015-09-14 11:00:00,-0.011228221438946528,0.0,0.0,0.017052043998025734,0.0
2015-09-14 12:00:00,-0.000329474599490176,-0.01927710843373498,-2.030870861802203e-05,0.014819944188469103,-0.0009389954255355493
2015-09-14 13:00:00,-0.008779798780789827,-0.0012285012285012664,0.0047003429804366465,-0.02488450057494573,0.011248379087463787
2015-09-14 14:00:00,-0.028537714032855318,0.01045510455104548,-0.0006153174423493282,-0.009361119307171428,0.01796719681908554
2015-09-14 15:00:00,-0.0040737862278746855,-0.00517346317711509,0.0006804212624766938,0.004226198202658128,-0.006054244073920412
2015-09-14 16:00:00,-0.0180801500779072,-0.015295197308045185,-0.010663464959089208,0.007011015019023015,0.0009922632936265607
2015-09-14 17:00:00,0.005286814279924723,-0.003106554830692887,0.008579243591514185,-0.006962202909856607,0.0
2015-09-14 18:00:00,0.013059833355584027,-0.004051106263633586,0.0015816566719253355,1.0020030039026295e-06,-0.004882788538451255
2015-09-14 19:00:00,-0.01437984496124034,-0.00031289111389243285,0.0018032507052416766,-0.004496984975981944,0.009828288506869455
2015-09-14 20:00:00,-0.009005466200008083,0.0,-0.00013566658322095027,-0.002882697173869686,0.0039067268953727466
2015-09-14 21:00:00,0.0048809523809525395,0.00657276995305156,-0.009818585936250623,0.0009105132993489916,0.0
2015-09-14 22:00:00,0.018525977701430836,-0.006840796019900286,-0.005087254945942199,-0.006984000839088568,0.01974948315699865
2015-09-14 23:00:00,-0.024508764946417738,-0.008766437069505417,0.005928176505695992,0.011824782379520338,0.00499439501991561
2015-09-15 00:00:00,0.0029146793852676822,-0.0006317119393555171,0.005674821250873263,0.001293825970871243,0.0
2015-09-15 01:00:00,0.016499339498018406,0.0009481668773703156,1.782874999389783e-05,0.01214965731350226,-0.022299009882192244
2015-09-15 02:00:00,-0.007134595641268837,0.001578781180928468,0.004005724547482048,-0.011974102660350485,0.04267807208326868
2015-09-15 03:00:00,-0.008989528795811608,0.0,-0.012049136066935471,0.011555861181308249,-0.01038761494587348
2015-09-15 04:00:00,0.01875498592055269,0.0,-0.0016601320752712698,0.0005539496411217648,0.010374322493224895
2015-09-15 05:00:00,-0.01192223322771524,0.0,-0.003807795136857139,-0.022966773499617732,0.0002048903603741881
2015-09-15 06:00:00,0.010318368375198173,0.0,-0.0032834584996147553,0.0009903830461019947,-0.02231450745601593
2015-09-15 07:00:00,-0.008828571428571519,0.03530895334174011,0.0004022032164716638,4.05078058540731e-06,-0.009899999999999907
2015-09-15 08:00:00,-0.002633640897167444,0.01674786845310594,0.008395912028703156,-0.005698412505519279,0.0
2015-09-15 09:00:00,0.01118771610841951,0.00449236298292921,0.0,0.024637390371760715,0.0
2015-09-15 10:00:00,0.014026098208671293,-0.0002981514609422532,0.001450985133938376,-0.00015804681963071943,0.0
2015-09-15 11:00:00,0.04438414152906312,-0.012526096033402934,0.0010018176300323756,-0.02104343296164924,0.005184661482005025
2015-09-15 12:00:00,0.016799444516687908,0.0,0.0031735941320294447,0.026785687083948902,-0.019320666606060355
2015-09-15 13:00:00,-0.0035302350272670147,-0.0048323769254001725,-0.00728657382357878,0.0,0.014827211030391309
2015-09-15 14:00:00,-0.023464912811745453,-0.004552352048558528,-0.00011375493585930041,0.0,0.0
2015-09-15 15:00:00,0.012207792851882228,0.0,-0.004560536787948211,-0.00017011495617069716,0.0
2015-09-15 16:00:00,0.03630417207672877,-0.02317073170731709,0.006401011664065592,0.017695954828772953,0.05084615384615376
2015-09-15 17:00:00,-0.00947733972563225,0.0065543071161049404,0.007603764382160483,-0.008126959811352584,0.0
2015-09-15 18:00:00,-0.02147732696897376,0.0,-0.018897175559025925,-0.01615974332565373,0.015665031842471144
