[TimeStamp],ETHreturn,XRPreturn,LTCreturn,DASHreturn,XMRreturn
2015-09-13 21:00:00,-0.00014938394728181771,-0.003362620521219249,-0.00016940271924141803,0.0016646139420668032,0.0008447952243333228
2015-09-13 22:00:00,0.000754029585671785,0.0009768035089678427,-0.003200829842551948,-0.000469210513675779,-0.0022665716128326017
2015-09-13 23:00:00,0.001309901062981617,0.00027032410209835756,-0.0020945056407212716,-0.00017048071987902462,-0.0007827331576684695
2015-09-14 00:00:00,-0.000530182940631055,-0.0003315254137089019,-0.0004210828737826354,-0.0012173537498642226,0.003173838109812645
2015-09-14 01:00:00,0.0007452758245761305,-0.0005809047133131959,-0.0008375715209803834,-0.0010451351081805873,-0.0001779736536813187
2015-09-14 02:00:00,-0.0005997031914168546,-0.0009613953364459111,0.0015488759643931815,0.0031561672535172255,-0.0004677439996074161
2015-09-14 03:00:00,0.0007028846818781902,-0.0005573065974800636,-0.0042505747184341395,0.0028656604845758004,-0.0014763575202588522
2015-09-14 04:00:00,0.00017068684179169982,-0.0016368362950234744,2.175933779779419e-05,-0.00044346747668652794,0.0002512796484255494
2015-09-14 05:00:00,-0.0020773991415526214,-0.0008912119607702375,0.0035626565948922427,-0.0031652011989424574,0.0008893438170145194
2015-09-14 06:00:00,-0.0001188220120278115,0.00131945765041069,-0.00018514346483813332,0.0005267949967973171,-0.0004887047438903104
2015-09-14 07:00:00,-0.0022974206745291223,-0.0013405625961911897,-0.0033025047065046186,0.0011580080593227443,-0.0013031819875207254
2015-09-14 08:00:00,0.002171771731693653,-0.0010386222591251852,0.000324690004168535,0.003208895690494038,-0.0038061215887877278
2015-09-14 09:00:00,7.187767273686958e-05,-0.0005768676940916287,0.0028106130132418325,-0.0015979346397635614,-0.002148156352955065
2015-09-14 10:00:00,-0.0005384957011969813,-0.00022793667045573366,-0.0031118193418890236,0.002117856310739901,0.0009028316477089022
2015-09-14 11:00:00,0.0005990631150901894,-0.0005477140425787519,-0.000230708328622409,-0.001874301294924572,0.0004209630053208737
2015-09-14 12:00:00,0.00040784370438038086,-0.0008827174479448665,1.9286367092810177e-06,-0.003584938642148531,-0.0012023441430797912
2015-09-14 13:00:00,-0.0004191401688795115,0.0020039389635540497,-0.00020358373278766905,-0.0026819672292749098,-0.0014694229286959606
2015-09-14 14:00:00,0.0020951938716678507,-0.00046381688210358715,-0.00163888181383794,0.0045241314572321955,-0.0008766845001591622
2015-09-14 15:00:00,0.004001702649772544,-0.00047673312427866013,-0.000154231295340458,0.0013922683458529707,-0.0045347191582637055
2015-09-14 16:00:00,-0.00025265868733636643,-0.0004856919817764371,-0.00018179809506693522,-0.0008174395017836799,0.0004274361893410625
2015-09-14 17:00:00,0.0010455178497380043,0.00046035487973310353,0.002433659200451368,-0.0021410601042790457,-0.003805775759294655
2015-09-14 18:00:00,-0.0005673251042592777,0.00030044421954462084,-0.002177700887355332,0.0018515702624868036,0.0003734933697492554
2015-09-14 19:00:00,-0.00013590615594635114,0.0007399414780579895,-0.0006501327750760373,0.0001019448520550574,-6.80542287082537e-05
2015-09-14 20:00:00,0.0005352495887555119,-0.0006264330528892916,-0.00109276622366863,0.0022513620712933625,-0.003787262228756038
2015-09-14 21:00:00,0.0010007856334182576,-0.0009200125100175883,-4.755857842366048e-05,0.00011852357580163653,-0.0013454328348341225
2015-09-14 22:00:00,0.00011065564003704196,-0.00203733349122109,0.004449110084887859,-0.0007931278469084997,-0.0007920106647150637
2015-09-14 23:00:00,-0.0005940740482232123,-0.002828656501001868,0.0005690321037317158,0.0014919626547207974,-0.0005732669601975083
2015-09-15 00:00:00,0.0012372673428645302,0.0011733853770771274,-0.0030194581534193276,-0.0030415139295718,-0.000900117152493929
2015-09-15 01:00:00,-0.00014738415998454408,0.00014288459856688139,-0.0015454652814224474,0.0014307174403229228,0.0012420809822984763
2015-09-15 02:00:00,-0.0020710691985654597,-0.0006525479043362413,0.0001655702554256867,-0.0018569873131528704,0.0033352206778575555
2015-09-15 03:00:00,0.0006817101967047439,2.6575481407486807e-05,-0.001360870189907421,0.0031914795093769426,-0.0027751473276555385
2015-09-15 04:00:00,0.00015946704854747436,-0.0013229614159871385,0.006459549932916217,-0.003372454111298545,-0.0009442168180002638
2015-09-15 05:00:00,-0.0016699476031597766,0.00022572084248963345,0.0003276124548642726,0.0007927799166291851,0.0007295529826775357
2015-09-15 06:00:00,0.000928906319557325,-0.0033551614567970105,-0.0008034369349413612,0.003874762084246713,-0.004707011792966449
2015-09-15 07:00:00,-0.0006556267664628067,-0.0014223427490266884,0.0006487353558871896,-0.0003111870290002431,0.0035687827455523516
2015-09-15 08:00:00,0.0022392363346708227,-0.0035539006687308593,-6.615788327737536e-05,0.0015039832074527594,0.002701850311058653
2015-09-15 09:00:00,-0.00020060963043480137,-0.0010561325275299186,-0.0020243458886720234,0.0018232193684667552,0.0029092522930907845
2015-09-15 10:00:00,-0.0016828228793412988,-0.0022300275880430226,0.0027243414743375115,-0.00470018279695995,0.0026721398125591806
2015-09-15 11:00:00,-0.002113061700827834,-0.000553297342574807,-0.0006144100850580598,0.0005708690298348436,0.004175850272878301
2015-09-15 12:00:00,-0.0022488468935105382,0.00160558316879769,-0.0007165748126101632,0.005468073774212137,0.002675398241840937
2015-09-15 13:00:00,-0.0008799034740024952,-0.00015146056915778038,-0.0007024624141536266,-0.004807871161016489,0.004171418257737208
2015-09-15 14:00:00,0.000809292453664019,-0.0005262746504438134,0.0014689746216655563,-0.0003563755455689723,-0.002030271924051886
